-1211.92,-701.742,1402,-2.61738,13242
-1211.92,-675.774,1392,-2.63469,13242
-1211.92,-644.751,1371,-2.65199,13242
-1211.92,-620.108,1363,-2.66927,13242
-1211.92,-592.469,1348,-2.68653,13242
-1211.92,-569.376,1343,-2.70378,13498
-1211.92,-540.164,1323,-2.72102,13498
-1211.92,-518.504,1321,-2.73823,13498
-1211.92,-495.266,1315,-2.75544,13498
-1211.92,-469.566,1302,-2.77263,13242
-1211.92,-445.541,1293,-2.7898,13242
-1211.92,-424.977,1294,-2.80696,13498
-1211.92,-400.528,1283,-2.8241,13498
-1211.92,-376.634,1273,-2.84123,13498
-1211.92,-355.769,1273,-2.85835,13498
-1211.92,-332.978,1266,-2.87545,13498
-1211.92,-302.533,1270,-2.90107,13498
